No,Transaction date,House age,Distance to the river,Distance to the nearest MRT station,Number of convenience stores,Number of neighbour,Latitude,Longitude,House price of unit area
394,2013,16.9,144,967.4,4,24,24.98872,121.53408,40.3
395,2013.5,32.6,272,4136.271,1,4,24.95544,121.4963,24.7
396,2012.917,21.2,318,512.5487,4,23,24.974,121.53842,42.5
397,2012.667,37.1,183,918.6357,1,4,24.97198,121.55063,31.9
398,2013.417,13.1,316,1164.838,4,5,24.99156,121.53406,32.2
399,2013.417,14.7,338,1717.193,2,10,24.96447,121.51649,23
400,2012.917,12.7,500,170.1289,1,1,24.97371,121.52984,37.3
401,2013.25,26.8,181,482.7581,5,20,24.97433,121.53863,35.5
402,2013.083,7.6,253,2175.03,3,11,24.96305,121.51254,27.7
403,2012.833,12.7,172,187.4823,1,28,24.97388,121.52981,28.5
404,2012.667,30.9,442,161.942,9,23,24.98353,121.53966,39.7
405,2013.333,16.4,334,289.3248,5,17,24.98203,121.54348,41.2
406,2012.667,23,337,130.9945,6,19,24.95663,121.53765,37.2
407,2013.167,1.9,347,372.1386,7,14,24.97293,121.54026,40.5
408,2013,5.2,176,2408.993,0,4,24.95505,121.55964,22.3
409,2013.417,18.5,336,2175.744,3,11,24.9633,121.51243,28.1
410,2013,13.7,424,4082.015,0,5,24.94155,121.50381,15.4
411,2012.667,5.6,266,90.45606,9,16,24.97433,121.5431,50
412,2013.25,18.8,183,390.9696,7,30,24.97923,121.53986,40.6
413,2013,8.1,176,104.8101,5,7,24.96674,121.54067,52.5
414,2013.5,6.5,470,90.45606,9,15,24.97433,121.5431,63.9
